"Country","Area-2020","Area-2021","Area-2022","Area-2023","Area-2024","Production-2020","Production-2021","Production-2022","Production-2023","Production-2024","Yield-2020","Yield-2021","Yield-2022","Yield-2023","Yield-2024"
"India","450.70","463.79","464.00","481.63","505.12","1865.00","1954.25","1962.46","2077.54","2178.68","4138.00","4214.00","4229.00","431.00","431.00"
"Afghanistan","1.48","1.52","1.28","1.29","1.29","4.40","4.59","5.92","5.97","6.54","2979.00","3007.00","4625.00","463.00","506.00"
"Albania","0.00","0.00","0.00","","","0.00","0.00","0.00","","","","","","",""
"Algeria","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1859.00","1882.00","1790.00","188.00","190.00"
"Angola","0.09","0.09","0.09","0.16","0.17","0.11","0.11","0.11","0.40","0.48","1238.00","1227.00","1232.00","248.00","282.00"
"Argentina","1.85","2.00","1.86","1.73","1.91","12.23","14.53","12.22","11.63","12.65","6600.00","7266.00","6570.00","672.00","662.00"
"Armenia","0.00","0.00","0.00","","","0.00","0.00","0.00","","","","","","",""
"Australia","0.05","0.45","0.63","0.52","0.52","0.50","4.23","6.91","4.97","6.19","10031.00","9382.00","11055.00","952.00","1191.00"
"Azerbaijan","0.03","0.03","0.03","0.03","0.03","0.09","0.10","0.11","0.14","0.15","3131.00","3296.00","3424.00","465.00","531.00"
"Bangladesh","114.18","117.01","116.92","116.38","114.49","549.06","569.45","571.89","606.01","605.70","4809.00","4867.00","4891.00","521.00","529.00"
"Belgium","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","",""
"Belize","0.03","0.03","0.03","0.03","0.03","0.14","0.15","0.15","0.18","0.17","4525.00","5669.00","5287.00","560.00","485.00"
"Benin","1.05","1.27","1.35","1.32","1.29","4.12","5.20","5.25","4.93","5.01","3935.00","4100.00","3894.00","373.00","390.00"
"Bhutan","0.13","0.10","0.09","0.09","0.09","0.54","0.41","0.41","0.41","0.42","4264.00","4159.00","4470.00","433.00","456.00"
"Bolivia (Plurinational State Of)","1.77","1.79","2.03","2.08","2.09","4.87","5.50","6.09","6.99","4.34","2761.00","3078.00","2995.00","335.00","207.00"
"Brazil","16.78","16.89","16.23","14.83","15.86","110.91","116.61","107.76","102.86","106.71","6611.00","6903.00","6638.00","694.00","673.00"
"Brunei Darussalam","0.01","0.01","0.01","0.01","0.01","0.03","0.03","0.04","0.04","0.04","2944.00","2885.00","2800.00","256.00","242.00"
"Bulgaria","0.12","0.12","0.11","0.11","0.12","0.66","0.58","0.64","0.64","0.66","5329.00","4823.00","6079.00","573.00","542.00"
"Burkina Faso","2.02","2.10","1.98","2.12","2.30","4.51","4.51","4.39","5.04","5.13","2238.00","2148.00","2212.00","238.00","223.00"
"Burundi","0.50","0.50","0.54","0.87","0.99","1.50","1.20","1.27","1.25","1.36","3009.00","2377.00","2342.00","144.00","137.00"
"Cambodia","33.23","32.53","33.03","36.61","38.97","112.48","114.10","116.24","131.86","142.00","3385.00","3508.00","3519.00","360.00","364.00"
"Cameroon","2.76","2.96","1.57","1.57","1.60","3.40","3.62","3.43","3.41","3.46","1233.00","1223.00","2189.00","217.00","216.00"
"Central African Republic","0.09","0.09","0.37","0.38","0.39","0.13","0.13","0.52","0.53","0.53","1400.00","1490.00","1400.00","140.00","136.00"
"Chad","1.89","1.84","1.77","1.75","2.57","2.78","2.43","2.32","2.24","3.47","1470.00","1318.00","1310.00","128.00","135.00"
"Chile","0.26","0.23","0.21","0.18","0.17","1.70","1.46","1.01","1.09","1.19","6429.00","6361.00","4855.00","609.00","683.00"
"China","303.42","301.45","296.89","291.72","292.57","2136.11","2144.04","2100.71","2080.64","2091.73","7040.00","7112.00","7076.00","713.00","715.00"
"Colombia","5.96","5.45","5.79","6.67","6.27","34.24","33.27","26.20","30.06","28.23","5741.00","6108.00","4526.00","450.00","450.00"
"Comoros","0.24","0.24","0.00","0.00","0.00","0.31","0.31","0.00","0.00","0.00","1309.00","1309.00","300.00","30.00","30.00"
"Congo","0.02","0.02","0.02","0.02","0.02","0.01","0.01","0.01","0.01","0.01","592.00","590.00","582.00","56.00","56.00"
"Costa Rica","0.32","0.33","0.27","0.15","0.15","1.47","1.51","1.04","0.76","0.64","4556.00","4581.00","3818.00","513.00","436.00"
"Croatia","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","",""
"Cuba","0.75","0.67","0.53","0.30","0.41","2.67","2.26","1.84","0.59","0.84","3574.00","3394.00","3469.00","196.00","206.00"
"Cyprus","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","",""
"Czechia","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","",""
"Côte D'Ivoire","5.29","5.82","6.88","7.24","8.11","14.81","16.59","19.93","20.11","23.81","2802.00","2852.00","2896.00","278.00","294.00"
"Democratic People'S Republic Of Korea","4.70","4.64","4.91","4.85","4.85","21.13","18.55","20.61","21.50","22.50","4493.00","3998.00","4202.00","443.00","464.00"
"Democratic Republic Of The Congo","13.20","14.42","18.88","17.57","18.45","14.76","15.81","16.92","18.12","19.41","1118.00","1096.00","896.00","103.00","105.00"
"Denmark","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","",""
"Dominican Republic","1.83","1.91","1.98","1.88","1.88","9.35","10.06","11.49","9.26","9.58","5103.00","5264.00","5808.00","494.00","510.00"
"Ecuador","3.13","3.40","3.38","3.43","4.02","13.37","15.04","12.53","13.13","15.60","4272.00","4421.00","3709.00","383.00","388.00"
"Egypt","4.99","4.74","6.46","6.81","7.04","48.04","48.41","58.00","62.29","64.30","9620.00","10203.00","8974.00","915.00","913.00"
"El Salvador","0.03","0.03","0.03","0.02","0.02","0.23","0.24","0.23","0.11","0.11","7326.00","7265.00","6835.00","692.00","702.00"
"Estonia","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","",""
"Eswatini","0.00","0.00","0.00","0.00","0.00","0.01","0.01","0.01","0.01","0.01","3072.00","3027.00","3175.00","277.00","271.00"
"Ethiopia","0.63","0.60","0.60","0.92","0.94","1.90","2.00","2.08","2.79","2.83","3032.00","3333.00","3467.00","303.00","299.00"
"Fiji","0.02","0.03","0.03","0.02","0.03","0.09","0.10","0.13","0.07","0.09","3773.00","4055.00","3981.00","378.00","300.00"
"Finland","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","",""
"France","0.15","0.12","0.12","0.12","0.13","0.76","0.62","0.64","0.68","0.72","5153.00","5072.00","5483.00","563.00","534.00"
"Gabon","0.01","0.01","0.01","0.01","0.01","0.02","0.02","0.02","0.02","0.02","2832.00","2827.00","2784.00","282.00","280.00"
"Gambia","0.65","0.65","0.46","0.48","0.50","0.40","0.42","0.45","0.47","0.53","620.00","645.00","961.00","99.00","105.00"
"Germany","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","",""
"Ghana","3.37","4.14","3.05","4.43","4.73","9.87","12.31","12.83","14.43","17.21","2929.00","2974.00","4207.00","326.00","364.00"
"Greece","0.36","0.35","0.29","0.28","0.32","2.87","2.42","2.15","1.90","2.50","7964.00","6926.00","7462.00","690.00","792.00"
"Guatemala","0.08","0.11","0.12","0.17","0.11","0.24","0.33","0.32","0.51","0.32","2915.00","2916.00","2570.00","298.00","301.00"
"Guinea","16.73","16.50","16.28","23.52","24.34","24.59","24.75","25.23","35.35","36.80","1470.00","1500.00","1550.00","150.00","151.00"
"Guinea-Bissau","1.19","1.27","1.30","1.50","1.69","1.98","2.14","2.24","2.26","2.44","1663.00","1689.00","1719.00","151.00","145.00"
"Guyana","1.86","1.50","1.54","1.59","1.68","6.88","5.59","9.30","10.06","11.16","3702.00","3729.00","6029.00","632.00","665.00"
"Haiti","0.55","0.49","0.55","0.52","0.52","1.72","1.55","1.40","1.36","1.35","3128.00","3160.00","2551.00","262.00","262.00"
"Honduras","0.17","0.15","0.18","0.10","0.07","0.66","0.54","0.51","0.34","0.23","3772.00","3710.00","2900.00","358.00","352.00"
"Hungary","0.03","0.03","0.02","0.02","0.02","0.12","0.10","0.10","0.08","0.09","3926.00","3500.00","4356.00","356.00","363.00"
"Indonesia","106.57","104.12","104.53","102.14","100.46","546.49","544.15","547.49","539.81","531.43","5128.00","5226.00","5238.00","529.00","529.00"
"Iran (Islamic Republic Of)","4.94","4.33","4.00","7.92","7.70","18.20","15.95","15.00","34.86","34.79","3682.00","3682.00","3750.00","440.00","452.00"
"Iraq","1.02","0.96","0.04","0.03","0.52","4.64","4.22","0.12","0.13","2.28","4569.00","4392.00","3031.00","363.00","434.00"
"Ireland","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","",""
"Italy","2.27","2.27","2.18","2.10","2.26","15.07","14.59","12.37","13.79","14.49","6632.00","6428.00","5663.00","656.00","641.00"
"Jamaica","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","",""
"Japan","14.62","14.04","14.97","14.78","14.58","104.69","105.25","103.64","101.36","101.42","7161.00","7497.00","6921.00","686.00","696.00"
"Kazakhstan","1.02","0.97","0.88","1.00","0.98","5.57","5.04","4.31","4.85","5.13","5444.00","5213.00","4906.00","485.00","522.00"
"Kenya","0.28","0.26","0.30","0.39","0.43","1.81","1.86","1.92","2.29","2.82","6397.00","7280.00","6493.00","588.00","655.00"
"Kyrgyzstan","0.12","0.12","0.12","0.12","0.12","0.44","0.46","0.44","0.47","0.48","3729.00","3736.00","3803.00","397.00","404.00"
"Lao People'S Democratic Republic","9.22","9.43","8.18","9.67","9.13","35.19","38.70","35.95","39.00","37.51","3818.00","4103.00","4394.00","403.00","411.00"
"Latvia","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","",""
"Liberia","2.40","2.40","2.57","2.85","2.90","2.79","2.56","2.88","3.24","3.22","1163.00","1065.00","1121.00","114.00","111.00"
"Lithuania","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","",""
"Luxembourg","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","",""
"Madagascar","16.75","16.00","15.98","20.35","20.41","42.28","43.91","45.85","51.18","49.70","2525.00","2745.00","2869.00","251.00","244.00"
"Malawi","0.73","0.77","0.76","0.79","0.80","1.45","1.47","1.47","1.24","1.27","1999.00","1911.00","1940.00","157.00","159.00"
"Malaysia","6.45","6.46","6.38","6.14","5.94","23.56","24.18","23.64","21.75","21.03","3654.00","3745.00","3704.00","354.00","354.00"
"Mali","8.98","8.74","8.88","9.07","7.90","30.10","24.20","28.65","30.24","27.56","3352.00","2769.00","3226.00","333.00","349.00"
"Malta","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","",""
"Mauritania","0.68","0.77","0.71","0.89","0.89","2.91","4.28","4.03","4.71","4.32","4284.00","5564.00","5676.00","530.00","488.00"
"Mauritius","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","",""
"Mexico","0.48","0.40","0.38","0.37","0.31","2.95","2.57","2.47","2.52","2.20","6211.00","6381.00","6552.00","687.00","701.00"
"Micronesia (Federated States Of)","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1819.00","1811.00","1823.00","183.00","183.00"
"Morocco","0.06","0.08","0.06","0.07","0.01","0.66","0.51","0.49","0.56","0.06","11351.00","6737.00","7771.00","800.00","650.00"
"Mozambique","2.84","2.85","2.90","3.66","2.73","1.37","1.89","3.65","1.62","1.69","483.00","663.00","1259.00","44.00","62.00"
"Myanmar","68.30","65.37","68.99","64.42","70.16","259.83","249.10","246.80","256.50","276.50","3804.00","3811.00","3577.00","398.00","394.00"
"Nepal","14.59","14.73","14.49","14.39","14.21","55.51","56.22","54.87","57.24","59.55","3805.00","3815.00","3787.00","398.00","419.00"
"Netherlands","0.00","0.00","","","","0.00","0.00","","","","","","","",""
"New Zealand","0.00","0.00","0.00","","","0.00","0.00","0.00","","","","","","",""
"Nicaragua","0.74","0.77","0.79","0.83","","4.77","4.92","5.04","4.99","","6446.00","6347.00","6374.00","602.00",""
"Niger","0.38","0.13","0.32","0.39","0.49","1.79","0.22","1.44","1.43","1.65","4742.00","1782.00","4443.00","364.00","338.00"
"Nigeria","41.95","43.20","45.80","45.10","45.73","81.72","83.42","85.02","89.02","91.30","1948.00","1931.00","1856.00","197.00","200.00"
"North Macedonia","0.03","0.03","0.03","0.03","0.03","0.20","0.19","0.19","0.20","0.19","6144.00","6095.00","6095.00","632.00","596.00"
"Pakistan","33.35","35.37","29.76","36.37","38.99","126.30","139.84","109.83","147.89","145.85","3787.00","3953.00","3690.00","407.00","374.00"
"Panama","1.00","0.97","0.95","0.88","0.87","3.92","4.06","3.90","3.97","3.71","3921.00","4199.00","4103.00","449.00","428.00"
"Papua New Guinea","0.00","0.00","0.00","0.00","0.00","0.01","0.01","0.01","0.01","0.01","2122.00","2132.00","2137.00","215.00","216.00"
"Paraguay","1.80","1.78","1.70","1.70","1.87","11.88","11.81","8.62","9.78","10.52","6599.00","6633.00","5068.00","575.00","564.00"
"Peru","4.17","4.18","4.14","4.20","4.38","34.34","34.74","34.49","34.02","36.40","8237.00","8316.00","8326.00","810.00","831.00"
"Philippines","47.19","48.05","48.04","48.16","46.46","192.95","199.60","197.56","200.60","190.87","4089.00","4154.00","4112.00","417.00","411.00"
"Poland","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","",""
"Portugal","0.26","0.29","0.27","0.28","0.28","1.33","1.76","1.56","1.79","1.72","5119.00","5991.00","5707.00","640.00","621.00"
"Puerto Rico","0.00","0.00","0.00","0.01","0.01","0.00","0.00","0.00","0.04","0.03","2845.00","2861.00","3180.00","365.00","376.00"
"Republic Of Korea","7.26","7.32","7.27","7.08","6.98","47.13","52.11","49.98","48.98","47.83","6488.00","7114.00","6875.00","692.00","686.00"
"Republic Of Moldova","0.00","0.00","0.00","","","0.00","0.00","0.00","","","","","","",""
"Romania","0.06","0.05","0.03","0.02","0.03","0.25","0.15","0.17","0.12","0.14","4112.00","2754.00","5152.00","497.00","569.00"
"Russian Federation","1.96","1.86","1.70","1.85","2.06","11.42","10.76","9.20","10.73","12.59","5828.00","5777.00","5423.00","578.00","611.00"
"Rwanda","0.30","0.32","0.32","0.33","0.35","1.17","1.32","1.35","1.34","1.42","3938.00","4160.00","4188.00","409.00","411.00"
"Saint Vincent And The Grenadines","0.00","0.00","0.00","","","0.00","0.00","0.00","","","","","","",""
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.01","0.01","0.01","0.01","0.01","2335.00","2401.00","2397.00","235.00","240.00"
"Senegal","4.04","3.71","3.72","3.98","4.10","13.50","13.82","14.09","15.20","15.80","3343.00","3728.00","3784.00","382.00","385.00"
"Sierra Leone","6.04","9.44","6.89","8.72","9.87","10.50","19.79","13.97","13.15","13.91","1737.00","2095.00","2029.00","151.00","141.00"
"Slovakia","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","",""
"Slovenia","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","",""
"Solomon Islands","0.01","0.01","0.01","0.01","0.01","0.03","0.03","0.03","0.03","0.03","1889.00","1899.00","1903.00","185.00","187.00"
"Somalia","0.01","0.01","0.01","0.01","0.01","0.02","0.02","0.02","0.02","0.02","1755.00","1764.00","1764.00","200.00","200.00"
"South Africa","0.01","0.01","0.01","0.01","0.01","0.03","0.03","0.03","0.03","0.03","2821.00","2844.00","2888.00","289.00","291.00"
"South Sudan","0.30","0.31","0.31","0.30","0.38","0.26","0.26","0.37","0.33","0.38","885.00","847.00","1189.00","109.00","99.00"
"Spain","1.02","0.85","0.56","0.55","0.86","7.39","6.17","3.50","3.34","6.06","7243.00","7288.00","6253.00","606.00","705.00"
"Sri Lanka","10.66","11.27","11.14","11.63","11.32","51.21","51.50","33.93","45.13","46.98","4802.00","4571.00","3045.00","388.00","415.00"
"Sudan","0.12","0.09","0.11","0.05","0.06","0.34","0.25","0.33","0.22","0.28","2914.00","2937.00","3069.00","444.00","444.00"
"Suriname","0.58","0.57","0.56","0.52","0.51","2.50","2.64","2.66","2.29","2.26","4320.00","4639.00","4759.00","441.00","445.00"
"Sweden","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","",""
"Syrian Arab Republic","0.00","0.00","0.00","","","0.00","0.00","0.00","","","","","","",""
"Tajikistan","0.13","0.13","0.13","0.13","0.12","0.99","0.67","1.10","1.62","1.64","7674.00","5278.00","8785.00","1295.00","1339.00"
"Thailand","104.02","112.44","114.84","113.39","112.49","302.31","335.82","343.17","338.52","335.51","2906.00","2987.00","2988.00","299.00","298.00"
"Timor-Leste","0.19","0.27","0.31","0.38","0.29","0.50","0.45","0.76","0.83","0.62","2643.00","1697.00","2459.00","217.00","217.00"
"Togo","0.93","0.91","1.00","1.01","1.04","1.60","1.50","1.70","1.83","1.80","1715.00","1647.00","1697.00","181.00","174.00"
"Trinidad And Tobago","0.01","0.00","0.00","0.00","0.01","0.01","0.00","0.00","0.00","0.01","951.00","951.00","965.00","98.00","98.00"
"Turkmenistan","0.20","0.20","0.19","0.20","0.19","0.86","0.83","0.86","0.87","0.86","4231.00","4045.00","4453.00","443.00","454.00"
"Türkiye","1.25","1.29","1.21","1.12","1.29","9.80","10.00","9.50","9.00","10.19","7815.00","7724.00","7883.00","803.00","791.00"
"Uganda","1.28","1.01","2.60","2.30","2.30","3.73","3.03","7.30","3.65","3.00","2922.00","2993.00","2808.00","159.00","130.00"
"Ukraine","0.11","0.10","0.01","0.02","0.03","0.61","0.49","0.03","0.11","0.15","5418.00","4899.00","4414.00","504.00","500.00"
"United Republic Of Tanzania","10.38","9.56","9.98","12.00","13.05","30.38","26.88","28.57","35.88","40.52","2926.00","2813.00","2862.00","299.00","311.00"
"United States Of America","12.08","10.07","8.79","11.55","11.60","103.20","87.00","72.74","99.02","100.76","8540.00","8640.00","8276.00","857.00","868.00"
"Uruguay","1.40","1.39","1.47","1.47","1.40","12.09","13.09","13.73","13.73","13.06","8617.00","9397.00","9338.00","934.00","935.00"
"Uzbekistan","0.47","0.49","0.46","0.42","0.46","2.93","3.34","3.59","3.56","3.84","6188.00","6837.00","7753.00","842.00","839.00"
"Venezuela (Bolivarian Republic Of)","1.73","1.88","1.59","1.36","1.36","7.05","7.88","4.78","6.19","6.11","4064.00","4200.00","3001.00","456.00","448.00"
"Viet Nam","72.22","72.20","70.89","71.15","70.63","427.65","438.53","426.72","434.98","434.50","5921.00","6074.00","6020.00","611.00","615.00"
"Zambia","0.25","0.44","0.40","0.49","0.23","0.35","0.66","0.62","0.63","0.25","1399.00","1489.00","1574.00","127.00","106.00"
"Zimbabwe","0.01","0.03","0.02","0.01","0.00","0.01","0.03","0.02","0.01","0.00","595.00","839.00","897.00","49.00","33.00"