"Crop","Season","Area-Average","Area-Maximum","Area-Minimum","Production-Average","Production-Maximum","Production-Minimum","Yield-Average","Yield-Maximum","Yield-Minimum"
"Rice","Kharif","412.00","434.66","403.58","1125.50","1227.72","1052.08","2732.00","2825.00","2607.00"
"Rice","Rabi","47.06","54.11","40.76","166.73","191.60","146.01","3543.00","3606.00","3467.00"
"Rice","Summer","31.49","33.28","30.18","104.96","112.84","99.65","3333.00","3391.00","3302.00"
"Rice","Total","477.95","512.67","457.69","1355.21","1501.84","1243.68","2835.00","2929.00","2717.00"
"Wheat","Rabi","315.24","328.04","304.59","1118.24","1179.45","1077.42","3547.00","3595.00","3521.00"
"Wheat","Total","315.24","328.04","304.59","1118.24","1179.45","1077.42","3547.00","3595.00","3521.00"
"Maize","Kharif","80.77","84.61","77.55","229.93","248.08","215.55","2847.00","2940.00","2671.00"
"Maize","Rabi","22.90","27.80","21.37","119.22","147.53","100.92","5207.00","5529.00","4723.00"
"Maize","Summer","6.98","8.50","5.08","33.20","38.47","27.21","4754.00","5361.00","4528.00"
"Maize","Total","107.85","120.91","98.92","369.07","434.09","316.47","3422.00","3590.00","3199.00"
"Barley","Rabi","5.66","6.28","4.53","17.12","19.19","13.71","3022.00","3159.00","2796.00"
"Barley","Total","5.66","6.28","4.53","17.12","19.19","13.71","3022.00","3159.00","2796.00"
"Jowar","Kharif","14.44","16.42","12.89","16.62","19.86","14.80","1151.00","1210.00","1071.00"
"Jowar","Rabi","24.92","27.36","21.37","28.15","31.89","23.22","1130.00","1266.00","1033.00"
"Jowar","Summer","0.34","0.51","0.16","0.28","0.40","0.13","806.00","842.00","789.00"
"Jowar","Total","39.57","43.78","35.35","44.94","49.55","38.14","1136.00","1240.00","1079.00"
"Bajra","Kharif","70.94","76.52","68.38","101.27","108.63","96.63","1428.00","1459.00","1387.00"
"Bajra","Summer","4.43","5.20","4.00","11.21","12.27","10.53","2532.00","2705.00","2361.00"
"Bajra","Total","73.59","76.52","68.41","107.99","114.31","97.81","1467.00","1523.00","1420.00"
"Ragi","Kharif","12.01","12.48","11.59","18.07","19.98","16.70","1505.00","1724.00","1375.00"
"Ragi","Total","12.01","12.48","11.59","18.07","19.98","16.70","1505.00","1724.00","1375.00"
"Small Millets","Kharif","4.47","4.80","4.28","4.01","4.56","3.47","896.00","1001.00","781.00"
"Small Millets","Total","4.47","4.80","4.28","4.01","4.56","3.47","896.00","1001.00","781.00"
"Shree Anna /Nutri Cereals","Kharif","101.86","108.98","99.50","139.97","151.95","132.90","1374.00","1417.00","1336.00"
"Shree Anna /Nutri Cereals","Rabi","24.92","27.36","21.37","28.15","31.89","23.22","1130.00","1266.00","1033.00"
"Shree Anna /Nutri Cereals","Summer","4.77","5.56","4.16","11.48","12.57","10.93","2407.00","2634.00","2263.00"
"Shree Anna /Nutri Cereals","Total","129.64","136.33","122.89","175.01","185.92","160.00","1350.00","1424.00","1302.00"
"Nutri/Coarse Cereals","Kharif","182.63","186.53","177.39","369.89","389.56","355.35","2025.00","2112.00","1944.00"
"Nutri/Coarse Cereals","Rabi","53.48","59.05","49.48","164.50","198.60","145.74","3076.00","3363.00","2667.00"
"Nutri/Coarse Cereals","Summer","11.75","14.05","9.24","44.69","51.05","38.17","3803.00","4133.00","3632.00"
"Nutri/Coarse Cereals","Total","243.16","257.55","227.00","561.20","639.21","511.01","2308.00","2482.00","2128.00"
"Cereals","Kharif","594.62","619.10","586.01","1495.40","1617.28","1419.58","2515.00","2612.00","2406.00"
"Cereals","Rabi","415.78","431.83","406.60","1449.46","1539.33","1411.85","3486.00","3565.00","3412.00"
"Cereals","Summer","43.23","47.33","40.24","149.65","163.88","140.56","3461.00","3493.00","3429.00"
"Cereals","Total","1036.35","1098.26","994.37","3034.65","3320.50","2852.79","2928.00","3023.00","2824.00"
"Tur","Kharif","44.32","49.00","40.68","37.78","43.16","33.12","852.00","914.00","814.00"
"Tur","Total","44.32","49.00","40.68","37.78","43.16","33.12","852.00","914.00","814.00"
"Gram","Rabi","99.83","107.40","91.22","119.75","135.44","110.39","1200.00","1261.00","1151.00"
"Gram","Total","99.83","107.40","91.22","119.75","135.44","110.39","1200.00","1261.00","1151.00"
"Urad","Kharif","29.60","36.25","21.81","16.17","18.65","13.41","546.00","615.00","469.00"
"Urad","Rabi","7.57","10.09","5.89","6.61","9.11","4.87","873.00","988.00","778.00"
"Urad","Summer","2.96","3.58","2.63","2.69","3.48","2.28","909.00","974.00","856.00"
"Urad","Total","38.94","46.33","31.57","24.40","27.76","22.30","626.00","710.00","538.00"
"Moong","Kharif","35.48","38.43","31.74","16.24","19.96","11.54","458.00","522.00","364.00"
"Moong","Rabi","6.88","17.08","1.36","6.17","16.86","1.00","897.00","987.00","730.00"
"Moong","Summer","20.44","23.49","18.74","20.22","23.70","18.47","989.00","1009.00","968.00"
"Moong","Total","54.63","58.99","51.30","34.55","42.44","30.85","632.00","719.00","570.00"
"Lentil","Rabi","15.92","17.43","14.12","15.53","17.91","12.69","976.00","1028.00","899.00"
"Lentil","Total","15.92","17.43","14.12","15.53","17.91","12.69","976.00","1028.00","899.00"
"Other Pulses","Kharif","16.36","17.51","14.42","8.17","9.93","6.69","499.00","593.00","382.00"
"Other Pulses","Rabi","17.29","18.33","16.51","17.33","18.11","16.28","1002.00","1057.00","951.00"
"Other Pulses","Total","33.65","35.08","31.77","25.50","28.04","23.27","758.00","823.00","666.00"
"Total Pulses","Kharif","125.75","141.19","116.06","78.36","86.18","69.74","623.00","666.00","583.00"
"Total Pulses","Rabi","147.49","166.12","134.08","165.40","190.67","151.97","1121.00","1148.00","1097.00"
"Total Pulses","Summer","23.40","27.07","21.41","22.91","27.18","20.75","979.00","1004.00","957.00"
"Total Pulses","Total","287.28","307.31","275.05","257.50","273.02","242.46","896.00","926.00","881.00"
"Total Food Grains","Kharif","720.38","735.16","706.39","1573.76","1694.60","1505.76","2185.00","2305.00","2079.00"
"Total Food Grains","Rabi","563.27","573.53","551.11","1614.86","1691.66","1578.41","2867.00","2989.00","2793.00"
"Total Food Grains","Summer","66.64","74.40","61.97","172.55","191.06","161.35","2589.00","2603.00","2568.00"
"Total Food Grains","Total","1323.64","1375.46","1297.95","3292.15","3577.32","3107.42","2487.00","2601.00","2394.00"