"Crop","Normal (DA&FW)-","Area Sown-2025-26","Area Sown-2024-25","Difference In Area Coverage Over-2024-25","% of Increase (+)/Decrease (-) Over -2024-25"
"Rice","31.49","30.59","32.31","-1.72","-5.32"
"Total Pulses","23.40","11.54","10.71","0.83","7.76"
"Urad","2.96","2.78","2.38","0.40","16.62"
"Moong","20.44","8.47","8.15","0.33","4.02"
"Other Pulses","","0.29","0.18","0.11","59.01"
"Total Coarse Cereals","12.08","13.67","12.70","0.97","7.63"
"Jowar","0.35","0.37","0.36","0.01","1.67"
"Bajra","4.42","4.60","4.30","0.30","6.95"
"Ragi","0.31","0.21","0.16","0.05","32.48"
"Maize","6.98","8.46","7.85","0.61","7.77"
"Other Small Millets","0.02","0.03","0.03","0.00","10.34"
"Total Oilseeds","8.40","8.31","7.62","0.69","9.05"
"Groundnut","3.40","4.77","4.20","0.57","13.58"
"Sesamum","4.66","3.09","3.00","0.10","3.21"
"Sunflower","0.34","0.39","0.35","0.03","9.29"
"Other Oilseeds","","0.05","0.06","-0.01","-16.98"
"Grand Total","75.36","64.10","63.33","0.77","1.22"